japonais	romaji	francais	categorie	variantes	corrigeable_auto
孫悟空	Son Gokū	Son Goku	personnage	悟空	oui
カカロット	Kakarotto	Kakarot	personnage		oui
ベジータ	Bejīta	Vegeta	personnage		oui
孫悟飯	Son Gohan	Son Gohan	personnage	悟飯	oui
孫悟天	Son Goten	Son Goten	personnage	悟天	oui
ピッコロ	Pikkoro	Piccolo	personnage		oui
ピッコロ大魔王	Pikkoro Daimaō	Roi démon Piccolo	personnage		oui
ブルマ	Buruma	Bulma	personnage		oui
クリリン	Kuririn	Krillin	personnage		oui
天津飯	Tenshinhan	Tenshinhan	personnage	テンシンハン	oui
ヤムチャ	Yamucha	Yamcha	personnage		oui
餃子	Chaozu	Chaozu	personnage	チャオズ	non
亀仙人	Kame-sennin	Tortue Géniale	personnage	武天老師	oui
鶴仙人	Tsuru-sennin	Tsuru Sennin	personnage		oui
トランクス	Torankusu	Trunks	personnage		oui
ゴテンクス	Gotenkusu	Gotenks	personnage		oui
ベジット	Bejitto	Vegetto	personnage	超ベジット	oui
ゴジータ	Gojīta	Gogeta	personnage		oui
フリーザ	Furīza	Freezer	personnage	フリーザー	oui
セル	Seru	Cell	personnage		non
セルジュニア	Seru Junia	Cell Jr	personnage		oui
魔人ブウ	Majin Bū	Majin Buu	personnage	ブウ	oui
ミスター・サタン	Misutā Satan	Mr Satan	personnage	ミスターサタン	oui
ビーデル	Bīderu	Videl	personnage		oui
パン	Pan	Pan	personnage		non
ブラ	Bura	Bra	personnage		non
チチ	Chichi	Chi-Chi	personnage		non
ランチ	Ranchi	Launch	personnage		non
ウーロン	Ūron	Oolong	personnage		oui
プーアル	Pūaru	Puerh	personnage		oui
ヤジロベー	Yajirobē	Yajirobé	personnage		oui
占いババ	Uranai Baba	Baba la voyante	personnage		oui
カリン	Karin	Karin	personnage	カリン様	oui
ミスター・ポポ	Misutā Popo	Mr Popo	personnage		oui
デンデ	Dende	Dende	personnage		oui
ネイル	Neiru	Nail	personnage		oui
最長老	Saichōrō	Le Grand Doyen	personnage		oui
ムーリ	Mūri	Muri	personnage		oui
カルゴ	Karugo	Cargo	personnage		oui
バーダック	Bādakku	Bardock	personnage		oui
ギネ	Gine	Gine	personnage		non
ラディッツ	Radittsu	Raditz	personnage		oui
ナッパ	Nappa	Nappa	personnage		oui
ベジータ王	Bejīta Ō	Roi Vegeta	personnage		oui
ターレス	Tāresu	Tullece	personnage		oui
ブロリー	Burorī	Broly	personnage		oui
パラガス	Paragasu	Paragus	personnage		oui
ターブル	Tāburu	Table	personnage		oui
カンバー	Kanbā	Cumber	personnage		oui
シャロット	Sharotto	Shallot	personnage		non
カリフラ	Karifura	Caulifla	personnage		oui
ケール	Kēru	Kale	personnage		non
ザーボン	Zābon	Zarbon	personnage		oui
ドドリア	Dodoria	Dodoria	personnage		oui
キュイ	Kyui	Kiwi	personnage		non
アプール	Apūru	Apple	personnage		oui
ギニュー隊長	Ginyū Taichō	Capitaine Ginyu	personnage	ギニュー	oui
リクーム	Rikūmu	Reacum	personnage		oui
バータ	Bāta	Burter	personnage		oui
ジース	Jīsu	Jeice	personnage		oui
グルド	Gurudo	Guldo	personnage		oui
コルド大王	Korudo Daiō	Grand roi Cold	personnage		oui
クウラ	Kūra	Cooler	personnage		oui
チルド	Chirudo	Chilled	personnage		oui
サウザー	Sauzā	Sauzer	personnage		oui
ネイズ	Neizu	Neizu	personnage		oui
ドーレ	Dōre	Doré	personnage		oui
レモ	Remo	Lemo	personnage		non
チライ	Chirai	Cheely	personnage		oui
